流浮山,(望向西面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/lfs/latest_LFS.jpg
濕地公園,(望向東北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/wlp/latest_WLP.jpg
上水風采中學,(望向西北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/elc/latest_ELC.jpg
嘉道理農場暨植物園,(遠眺新界西部),https://www.weather.gov.hk/wxinfo/aws/hko_mica/kfb/latest_KFB.jpg
大埔滘,(望向東北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/tpk/latest_TPK.jpg
大帽山,(望向西南面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/tm2/latest_TM2.jpg
大帽山,(望向東北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/tm3/latest_TM3.jpg
大欖涌,(遠眺大嶼山北部),https://www.weather.gov.hk/wxinfo/aws/hko_mica/tlc/latest_TLC.jpg
西貢水警東警署,(望向東北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/sk2/latest_SK2.jpg
西貢水警東警署,(望向東南面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/skg/latest_SKG.jpg
清水灣,(望向西南面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/cwb/latest_CWB.jpg
清水灣,(望向東面),https://www.weather.gov.hk/tc/wxinfo/ts/webcam/CWA_photo.htm
滘西洲,(望向西北偏西面), https://www.weather.gov.hk/wxinfo/aws/hko_mica/ks2/latest_KS2.jpg
九龍城,(望向東九龍及港島東部),https://www.weather.gov.hk/wxinfo/aws/hko_mica/klt/latest_KLT.jpg
尖沙咀,(望向西面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/hk2/latest_HK2.jpg
尖沙咀,(望向東面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/hko/latest_HKO.jpg
環球貿易廣場,(望向西南面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/ic2/latest_IC2.jpg
環球貿易廣場,(望向東南面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/ic1/latest_IC1.jpg
中環,(維多利亞港),https://www.weather.gov.hk/wxinfo/aws/hko_mica/cp1/latest_CP1.jpg
香港海事博物館,(望向維多利亞港),https://www.weather.gov.hk/wxinfo/aws/hko_mica/hmm/latest_HMM.jpg
太平山,(望向東北偏北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/vpb/latest_VPB.jpg
太平山,(望向東面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/vpa/latest_VPA.jpg
德瑞國際學校,(遠眺海洋公園及香港仔),https://www.weather.gov.hk/wxinfo/aws/hko_mica/gsi/latest_GSI.jpg
西灣河,(望向東面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/swh/latest_SWH.jpg
沙螺灣,(遠眺香港國際機場),https://www.weather.gov.hk/wxinfo/aws/hko_mica/slw/latest_SLW.jpg
坪洲,(北望大嶼山東北角的竹篙灣),https://www.weather.gov.hk/wxinfo/aws/hko_mica/dnl/latest_DNL.jpg
長沙,(望向西北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/cs1/latest_CS1.jpg
長洲,(望向北面),https://www.weather.gov.hk/wxinfo/aws/hko_mica/cch/latest_CCH.jpg
